URL,title
https://habr.com/ru/companies/piter/articles/805105/,Книга «React быстро. 2-е межд. изд.» / Хабр
https://habr.com/ru/companies/ru_mts/articles/805733/,Что стоит почитать по Python в 2024 году? Пять хороших книг / Хабр
https://habr.com/ru/articles/803671/,Интерактивные и документированные диаграммы для сложных систем / Хабр
https://habr.com/ru/articles/805581/,Как UX/UI дизайнеру улучшить UI Kit: 10 конкретных советов / Хабр
https://habr.com/ru/news/805785/,Cloudflare выпустила первый публичный релиз Pingora v0.1.0 / Хабр
https://habr.com/ru/articles/805871/,Shiva — Open Source проект на Rust для парсинга и генерации документов любого типа / Хабр
https://habr.com/ru/articles/805179/,Разработка сайта на Тильде на примере реального проекта — подход и разбор решений по UX и UI / Хабр
https://habr.com/ru/articles/805813/,Построение гистограммы максимального и среднего времени выполнения запросов для PostgreSQL / Хабр
https://habr.com/ru/companies/ruvds/articles/805719/,"Как пытались (пере)программировать мозги, и что из этого получилось? Часть 3: мрачный путь к MKUltra / Хабр"
https://habr.com/ru/companies/alfa/articles/842228/,"Notion умер, да здравствует Obsidian / Хабр"
https://habr.com/ru/articles/805271/,Pandas: от хаоса к красоте кода / Хабр
https://habr.com/ru/articles/805741/,"Подготовка к сертификациям CompTIA A+, Network+ и Security+ / Хабр"
https://habr.com/ru/articles/805557/,"Основы тайм-менеджмента: ежедневное планирование в календаре. Как планироваться, чтобы не испытывать боль. +Регламент / Хабр"
https://habr.com/ru/companies/agima/articles/805113/,"Создание ИИ-ассистента, который отвечает на вопросы пользователей по базе знаний / Хабр"
https://habr.com/ru/companies/otus/articles/805801/,Анализ новостей с помощью сегментации и кластеризации временных рядов / Хабр
https://habr.com/ru/companies/ruvds/articles/798813/,Как я делал сеть на 10 гигабит с минимальным бюджетом / Хабр
https://habr.com/ru/articles/803841/,Статический анализ структуры базы данных (часть 2) / Хабр
https://habr.com/ru/articles/805973/,Python для анализа годовых температур в Москве / Хабр
https://habr.com/ru/companies/otus/articles/805867/,Автоматизированная торговля акциями с использованием глубокого обучения с подкреплением / Хабр
https://habr.com/ru/articles/799337/,Микросервис на Python+ FastAPI / Хабр
https://habr.com/ru/articles/806297/,Хабр
https://habr.com/ru/companies/friflex/articles/806315/,Flutter: история успеха / Хабр
https://habr.com/ru/feed/,Публикации / Моя лента / Хабр
https://habr.com/ru/articles/806287/,Python streaming (spark+kafka) / Хабр
https://habr.com/ru/companies/selectel/articles/806245/,И снова дискеты: американская система управления поездами в Сан-Франциско полностью зависит от флоппи-дисков / Хабр
https://selectel.ru/blog/courses/?utm_source=habr.com&utm_medium=referral&utm_campaign=academy_article_max_010424_banner_050_01_ord%20(https://selectel.ru/blog/courses/?utm_source=habr.com&utm_medium=referral&utm_campaign=academy_article_course_160922_banner_050_ord),"error:HTTPSConnectionPool(host='selectel.ru', port=443): Max retries exceeded with url: /blog/courses/?utm_source=habr.com&utm_medium=referral&utm_campaign=academy_article_max_010424_banner_050_01_ord%20(https://selectel.ru/blog/courses/?utm_source=habr.com&utm_medium=referral&utm_campaign=academy_article_course_160922_banner_050_ord) (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7eb204fee9f0>: Failed to resolve 'selectel.ru' ([Errno -3] Temporary failure in name resolution)""))"
https://habr.com/ru/companies/bastion/articles/806195/,90+ дашбордов для OSINT и глобального мониторинга / Хабр
